datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2014 0:00,12/31/2013 19:00,RFC,WEST,DAY,DAY,2168,TRUE
1/1/2014 1:00,12/31/2013 20:00,RFC,WEST,DAY,DAY,2098,TRUE
1/1/2014 2:00,12/31/2013 21:00,RFC,WEST,DAY,DAY,2028,TRUE
1/1/2014 3:00,12/31/2013 22:00,RFC,WEST,DAY,DAY,1942,TRUE
1/1/2014 4:00,12/31/2013 23:00,RFC,WEST,DAY,DAY,1879,TRUE
1/1/2014 5:00,1/1/2014 0:00,RFC,WEST,DAY,DAY,1819,TRUE
1/1/2014 6:00,1/1/2014 1:00,RFC,WEST,DAY,DAY,1797,TRUE
1/1/2014 7:00,1/1/2014 2:00,RFC,WEST,DAY,DAY,1765,TRUE
1/1/2014 8:00,1/1/2014 3:00,RFC,WEST,DAY,DAY,1754,TRUE
1/1/2014 9:00,1/1/2014 4:00,RFC,WEST,DAY,DAY,1766,TRUE
1/1/2014 10:00,1/1/2014 5:00,RFC,WEST,DAY,DAY,1797,TRUE
1/1/2014 11:00,1/1/2014 6:00,RFC,WEST,DAY,DAY,1847,TRUE
1/1/2014 12:00,1/1/2014 7:00,RFC,WEST,DAY,DAY,1890,TRUE
1/1/2014 13:00,1/1/2014 8:00,RFC,WEST,DAY,DAY,1888,TRUE
1/1/2014 14:00,1/1/2014 9:00,RFC,WEST,DAY,DAY,1929,TRUE
1/1/2014 15:00,1/1/2014 10:00,RFC,WEST,DAY,DAY,1978,TRUE
1/1/2014 16:00,1/1/2014 11:00,RFC,WEST,DAY,DAY,1989,TRUE
1/1/2014 17:00,1/1/2014 12:00,RFC,WEST,DAY,DAY,1961,TRUE
1/1/2014 18:00,1/1/2014 13:00,RFC,WEST,DAY,DAY,1919,TRUE
1/1/2014 19:00,1/1/2014 14:00,RFC,WEST,DAY,DAY,1879,TRUE
1/1/2014 20:00,1/1/2014 15:00,RFC,WEST,DAY,DAY,1851,TRUE
1/1/2014 21:00,1/1/2014 16:00,RFC,WEST,DAY,DAY,1895,TRUE
1/1/2014 22:00,1/1/2014 17:00,RFC,WEST,DAY,DAY,2033,TRUE
1/1/2014 23:00,1/1/2014 18:00,RFC,WEST,DAY,DAY,2093,TRUE
1/2/2014 0:00,1/1/2014 19:00,RFC,WEST,DAY,DAY,2080,TRUE
1/2/2014 1:00,1/1/2014 20:00,RFC,WEST,DAY,DAY,2049,TRUE
1/2/2014 2:00,1/1/2014 21:00,RFC,WEST,DAY,DAY,2011,TRUE
1/2/2014 3:00,1/1/2014 22:00,RFC,WEST,DAY,DAY,1940,TRUE
1/2/2014 4:00,1/1/2014 23:00,RFC,WEST,DAY,DAY,1869,TRUE
1/2/2014 5:00,1/2/2014 0:00,RFC,WEST,DAY,DAY,1817,TRUE
1/2/2014 6:00,1/2/2014 1:00,RFC,WEST,DAY,DAY,1787,TRUE
1/2/2014 7:00,1/2/2014 2:00,RFC,WEST,DAY,DAY,1762,TRUE
1/2/2014 8:00,1/2/2014 3:00,RFC,WEST,DAY,DAY,1777,TRUE
1/2/2014 9:00,1/2/2014 4:00,RFC,WEST,DAY,DAY,1841,TRUE
1/2/2014 10:00,1/2/2014 5:00,RFC,WEST,DAY,DAY,1954,TRUE
1/2/2014 11:00,1/2/2014 6:00,RFC,WEST,DAY,DAY,2130,TRUE
1/2/2014 12:00,1/2/2014 7:00,RFC,WEST,DAY,DAY,2275,TRUE
1/2/2014 13:00,1/2/2014 8:00,RFC,WEST,DAY,DAY,2323,TRUE
1/2/2014 14:00,1/2/2014 9:00,RFC,WEST,DAY,DAY,2373,TRUE
1/2/2014 15:00,1/2/2014 10:00,RFC,WEST,DAY,DAY,2433,TRUE
1/2/2014 16:00,1/2/2014 11:00,RFC,WEST,DAY,DAY,2478,TRUE
1/2/2014 17:00,1/2/2014 12:00,RFC,WEST,DAY,DAY,2502,TRUE
1/2/2014 18:00,1/2/2014 13:00,RFC,WEST,DAY,DAY,2518,TRUE
1/2/2014 19:00,1/2/2014 14:00,RFC,WEST,DAY,DAY,2520,TRUE
1/2/2014 20:00,1/2/2014 15:00,RFC,WEST,DAY,DAY,2510,TRUE
1/2/2014 21:00,1/2/2014 16:00,RFC,WEST,DAY,DAY,2550,TRUE
1/2/2014 22:00,1/2/2014 17:00,RFC,WEST,DAY,DAY,2693,TRUE
1/2/2014 23:00,1/2/2014 18:00,RFC,WEST,DAY,DAY,2782,TRUE
1/3/2014 0:00,1/2/2014 19:00,RFC,WEST,DAY,DAY,2743,TRUE
1/3/2014 1:00,1/2/2014 20:00,RFC,WEST,DAY,DAY,2695,TRUE
1/3/2014 2:00,1/2/2014 21:00,RFC,WEST,DAY,DAY,2623,TRUE
1/3/2014 3:00,1/2/2014 22:00,RFC,WEST,DAY,DAY,2514,TRUE
1/3/2014 4:00,1/2/2014 23:00,RFC,WEST,DAY,DAY,2420,TRUE
1/3/2014 5:00,1/3/2014 0:00,RFC,WEST,DAY,DAY,2316,TRUE
1/3/2014 6:00,1/3/2014 1:00,RFC,WEST,DAY,DAY,2291,TRUE
1/3/2014 7:00,1/3/2014 2:00,RFC,WEST,DAY,DAY,2262,TRUE
1/3/2014 8:00,1/3/2014 3:00,RFC,WEST,DAY,DAY,2276,TRUE
1/3/2014 9:00,1/3/2014 4:00,RFC,WEST,DAY,DAY,2337,TRUE
1/3/2014 10:00,1/3/2014 5:00,RFC,WEST,DAY,DAY,2449,TRUE
1/3/2014 11:00,1/3/2014 6:00,RFC,WEST,DAY,DAY,2620,TRUE
1/3/2014 12:00,1/3/2014 7:00,RFC,WEST,DAY,DAY,2755,TRUE
1/3/2014 13:00,1/3/2014 8:00,RFC,WEST,DAY,DAY,2765,TRUE
1/3/2014 14:00,1/3/2014 9:00,RFC,WEST,DAY,DAY,2744,TRUE
1/3/2014 15:00,1/3/2014 10:00,RFC,WEST,DAY,DAY,2701,TRUE
1/3/2014 16:00,1/3/2014 11:00,RFC,WEST,DAY,DAY,2660,TRUE
1/3/2014 17:00,1/3/2014 12:00,RFC,WEST,DAY,DAY,2603,TRUE
1/3/2014 18:00,1/3/2014 13:00,RFC,WEST,DAY,DAY,2546,TRUE
1/3/2014 19:00,1/3/2014 14:00,RFC,WEST,DAY,DAY,2477,TRUE
1/3/2014 20:00,1/3/2014 15:00,RFC,WEST,DAY,DAY,2425,TRUE
1/3/2014 21:00,1/3/2014 16:00,RFC,WEST,DAY,DAY,2455,TRUE
1/3/2014 22:00,1/3/2014 17:00,RFC,WEST,DAY,DAY,2591,TRUE
1/3/2014 23:00,1/3/2014 18:00,RFC,WEST,DAY,DAY,2699,TRUE
1/4/2014 0:00,1/3/2014 19:00,RFC,WEST,DAY,DAY,2673,TRUE
1/4/2014 1:00,1/3/2014 20:00,RFC,WEST,DAY,DAY,2634,TRUE
1/4/2014 2:00,1/3/2014 21:00,RFC,WEST,DAY,DAY,2569,TRUE
1/4/2014 3:00,1/3/2014 22:00,RFC,WEST,DAY,DAY,2484,TRUE
1/4/2014 4:00,1/3/2014 23:00,RFC,WEST,DAY,DAY,2374,TRUE
1/4/2014 5:00,1/4/2014 0:00,RFC,WEST,DAY,DAY,2279,TRUE
1/4/2014 6:00,1/4/2014 1:00,RFC,WEST,DAY,DAY,2213,TRUE
1/4/2014 7:00,1/4/2014 2:00,RFC,WEST,DAY,DAY,2169,TRUE
1/4/2014 8:00,1/4/2014 3:00,RFC,WEST,DAY,DAY,2164,TRUE
1/4/2014 9:00,1/4/2014 4:00,RFC,WEST,DAY,DAY,2171,TRUE
1/4/2014 10:00,1/4/2014 5:00,RFC,WEST,DAY,DAY,2208,TRUE
1/4/2014 11:00,1/4/2014 6:00,RFC,WEST,DAY,DAY,2265,TRUE
1/4/2014 12:00,1/4/2014 7:00,RFC,WEST,DAY,DAY,2333,TRUE
1/4/2014 13:00,1/4/2014 8:00,RFC,WEST,DAY,DAY,2345,TRUE
1/4/2014 14:00,1/4/2014 9:00,RFC,WEST,DAY,DAY,2357,TRUE
1/4/2014 15:00,1/4/2014 10:00,RFC,WEST,DAY,DAY,2343,TRUE
1/4/2014 16:00,1/4/2014 11:00,RFC,WEST,DAY,DAY,2308,TRUE
1/4/2014 17:00,1/4/2014 12:00,RFC,WEST,DAY,DAY,2266,TRUE
1/4/2014 18:00,1/4/2014 13:00,RFC,WEST,DAY,DAY,2202,TRUE
1/4/2014 19:00,1/4/2014 14:00,RFC,WEST,DAY,DAY,2146,TRUE
1/4/2014 20:00,1/4/2014 15:00,RFC,WEST,DAY,DAY,2087,TRUE
1/4/2014 21:00,1/4/2014 16:00,RFC,WEST,DAY,DAY,2091,TRUE
1/4/2014 22:00,1/4/2014 17:00,RFC,WEST,DAY,DAY,2199,TRUE
1/4/2014 23:00,1/4/2014 18:00,RFC,WEST,DAY,DAY,2298,TRUE
1/5/2014 0:00,1/4/2014 19:00,RFC,WEST,DAY,DAY,2261,TRUE
1/5/2014 1:00,1/4/2014 20:00,RFC,WEST,DAY,DAY,2217,TRUE
1/5/2014 2:00,1/4/2014 21:00,RFC,WEST,DAY,DAY,2152,TRUE
1/5/2014 3:00,1/4/2014 22:00,RFC,WEST,DAY,DAY,2036,TRUE
1/5/2014 4:00,1/4/2014 23:00,RFC,WEST,DAY,DAY,1930,TRUE
1/5/2014 5:00,1/5/2014 0:00,RFC,WEST,DAY,DAY,1835,TRUE
1/5/2014 6:00,1/5/2014 1:00,RFC,WEST,DAY,DAY,1769,TRUE
1/5/2014 7:00,1/5/2014 2:00,RFC,WEST,DAY,DAY,1734,TRUE
1/5/2014 8:00,1/5/2014 3:00,RFC,WEST,DAY,DAY,1713,TRUE
1/5/2014 9:00,1/5/2014 4:00,RFC,WEST,DAY,DAY,1720,TRUE
1/5/2014 10:00,1/5/2014 5:00,RFC,WEST,DAY,DAY,1737,TRUE
1/5/2014 11:00,1/5/2014 6:00,RFC,WEST,DAY,DAY,1792,TRUE
1/5/2014 12:00,1/5/2014 7:00,RFC,WEST,DAY,DAY,1859,TRUE
1/5/2014 13:00,1/5/2014 8:00,RFC,WEST,DAY,DAY,1902,TRUE
1/5/2014 14:00,1/5/2014 9:00,RFC,WEST,DAY,DAY,1959,TRUE
1/5/2014 15:00,1/5/2014 10:00,RFC,WEST,DAY,DAY,1996,TRUE
1/5/2014 16:00,1/5/2014 11:00,RFC,WEST,DAY,DAY,2027,TRUE
1/5/2014 17:00,1/5/2014 12:00,RFC,WEST,DAY,DAY,2049,TRUE
1/5/2014 18:00,1/5/2014 13:00,RFC,WEST,DAY,DAY,2044,TRUE
1/5/2014 19:00,1/5/2014 14:00,RFC,WEST,DAY,DAY,2033,TRUE
1/5/2014 20:00,1/5/2014 15:00,RFC,WEST,DAY,DAY,2049,TRUE
1/5/2014 21:00,1/5/2014 16:00,RFC,WEST,DAY,DAY,2087,TRUE
1/5/2014 22:00,1/5/2014 17:00,RFC,WEST,DAY,DAY,2202,TRUE
1/5/2014 23:00,1/5/2014 18:00,RFC,WEST,DAY,DAY,2232,TRUE
1/6/2014 0:00,1/5/2014 19:00,RFC,WEST,DAY,DAY,2203,TRUE
1/6/2014 1:00,1/5/2014 20:00,RFC,WEST,DAY,DAY,2154,TRUE
1/6/2014 2:00,1/5/2014 21:00,RFC,WEST,DAY,DAY,2113,TRUE
1/6/2014 3:00,1/5/2014 22:00,RFC,WEST,DAY,DAY,2095,TRUE
1/6/2014 4:00,1/5/2014 23:00,RFC,WEST,DAY,DAY,2072,TRUE
1/6/2014 5:00,1/6/2014 0:00,RFC,WEST,DAY,DAY,2045,TRUE
1/6/2014 6:00,1/6/2014 1:00,RFC,WEST,DAY,DAY,2034,TRUE
1/6/2014 7:00,1/6/2014 2:00,RFC,WEST,DAY,DAY,2063,TRUE
1/6/2014 8:00,1/6/2014 3:00,RFC,WEST,DAY,DAY,2129,TRUE
1/6/2014 9:00,1/6/2014 4:00,RFC,WEST,DAY,DAY,2234,TRUE
1/6/2014 10:00,1/6/2014 5:00,RFC,WEST,DAY,DAY,2398,TRUE
1/6/2014 11:00,1/6/2014 6:00,RFC,WEST,DAY,DAY,2586,TRUE
1/6/2014 12:00,1/6/2014 7:00,RFC,WEST,DAY,DAY,2763,TRUE
1/6/2014 13:00,1/6/2014 8:00,RFC,WEST,DAY,DAY,2832,TRUE
1/6/2014 14:00,1/6/2014 9:00,RFC,WEST,DAY,DAY,2886,TRUE
1/6/2014 15:00,1/6/2014 10:00,RFC,WEST,DAY,DAY,2944,TRUE
1/6/2014 16:00,1/6/2014 11:00,RFC,WEST,DAY,DAY,2976,TRUE
1/6/2014 17:00,1/6/2014 12:00,RFC,WEST,DAY,DAY,2989,TRUE
1/6/2014 18:00,1/6/2014 13:00,RFC,WEST,DAY,DAY,2973,TRUE
1/6/2014 19:00,1/6/2014 14:00,RFC,WEST,DAY,DAY,2958,TRUE
1/6/2014 20:00,1/6/2014 15:00,RFC,WEST,DAY,DAY,2928,TRUE
1/6/2014 21:00,1/6/2014 16:00,RFC,WEST,DAY,DAY,2969,TRUE
1/6/2014 22:00,1/6/2014 17:00,RFC,WEST,DAY,DAY,3098,TRUE
1/6/2014 23:00,1/6/2014 18:00,RFC,WEST,DAY,DAY,3180,TRUE
1/7/2014 0:00,1/6/2014 19:00,RFC,WEST,DAY,DAY,3153,TRUE
1/7/2014 1:00,1/6/2014 20:00,RFC,WEST,DAY,DAY,3086,TRUE
1/7/2014 2:00,1/6/2014 21:00,RFC,WEST,DAY,DAY,3003,TRUE
1/7/2014 3:00,1/6/2014 22:00,RFC,WEST,DAY,DAY,2916,TRUE
1/7/2014 4:00,1/6/2014 23:00,RFC,WEST,DAY,DAY,2818,TRUE
1/7/2014 5:00,1/7/2014 0:00,RFC,WEST,DAY,DAY,2743,TRUE
1/7/2014 6:00,1/7/2014 1:00,RFC,WEST,DAY,DAY,2694,TRUE
1/7/2014 7:00,1/7/2014 2:00,RFC,WEST,DAY,DAY,2657,TRUE
1/7/2014 8:00,1/7/2014 3:00,RFC,WEST,DAY,DAY,2661,TRUE
1/7/2014 9:00,1/7/2014 4:00,RFC,WEST,DAY,DAY,2683,TRUE
1/7/2014 10:00,1/7/2014 5:00,RFC,WEST,DAY,DAY,2764,TRUE
